cell,gate,child_policy,prebuild_k,best_modes,best_rxn_per_mode,hub_modes,hub_rxn_per_mode,edge,hub_reward_gen_calls,source_dir
fraggfn_drd2,0.5,reward,0,19,8.0,183,3.984,2.008,265545,fraggfn_drd2
fraggfn_seh,5.0,reward,0,300,8.0,300,1.84,4.348,86205,fraggfn_seh_thr5
fraggfn_seh,6.0,reward,0,300,8.0,300,1.933,4.139,93765,fraggfn_seh_thr6
fraggfn_seh,7.0,reward,0,300,8.0,300,2.307,3.468,129255,fraggfn_seh
rxnflow_drd2,0.5,reward,0,277,2.935,300,1.833,1.601,108373,rxnflow_drd2_thr0.5
rxnflow_drd2,0.7,reward,0,232,2.944,300,2.08,1.415,153281,rxnflow_drd2_thr0.7
rxnflow_drd2,0.9,reward,0,147,2.98,190,2.516,1.184,162042,rxnflow_drd2_thr0.9
rxnflow_seh,5.0,reward,0,300,2.97,300,1.283,2.315,55866,rxnflow_seh_thr5
rxnflow_seh,6.0,reward,0,300,2.97,300,1.437,2.067,84555,rxnflow_seh_thr6
rxnflow_seh,7.0,reward,0,83,3.0,186,2.446,1.226,232213,rxnflow_seh_thr7
scent_drd2,0.5,free_frag,20,300,3.673,300,1.16,3.166,100538,scent_drd2_thr0.5
scent_drd2,0.7,free_frag,20,300,3.673,300,1.18,3.113,111548,scent_drd2_thr0.7
scent_drd2,0.9,free_frag,20,300,3.673,300,1.297,2.832,136151,scent_drd2_thr0.9
scent_seh,5.0,free_frag,20,300,3.383,300,1.093,3.095,29774,scent_seh_thr5
scent_seh,6.0,free_frag,20,300,3.383,300,1.133,2.986,54745,scent_seh_thr6
scent_seh,7.0,free_frag,20,300,3.383,300,1.303,2.596,155764,scent_seh_thr7
